ST-100 Hall Thruster
50.10969583474094, 1500.0, 24553.07007354426, 0.3014506453764625, 1000.0, 997.3396942777251
55.0, 1500.0, 198.29958539440528, 3.281658999669162, 1000.0, 997.3396942777251
60.0, 1500.0, 98.73754176301789, 6.53382654264351, 1000.0, 997.3396942777251
65.0, 1500.0, 65.73436058407798, 7.734653538776911, 1000.0, 997.3396942777251
70.0, 1500.0, 49.266901343522754, 10.26204468915239, 1000.0, 997.3396942777251
75.0, 1500.0, 39.39729731325039, 12.764083104004385, 1000.0, 997.3396942777251
80.0, 1500.0, 32.82207946045069, 15.38849674978701, 1000.0, 997.3396942777251
85.0, 1500.0, 28.127704609250884, 17.921953951299656, 1000.0, 997.3396942777251
90.0, 1500.0, 24.60813030322025, 20.455860970221693, 1000.0, 997.3396942777251
95.0, 1500.0, 21.871398169379404, 22.88632654644607, 1000.0, 997.3396942777251
100.0, 1500.0, 19.68246233117593, 25.513182504291763, 1000.0, 997.3396942777251
105.0, 1500.0, 17.891812105211358, 27.965499673213344, 1000.0, 997.3396942777251
107.0, 1500.0, 17.26357716583345, 29.02132899481512, 1000.0, 997.3396942777251
