SC1.EMInert.X             SC1.EMInert.Y             SC1.EMInert.Z             SC1.UTCModJulian          
319483.7587912147         -160596.5114317487        -166167.019919022         57727.00000004398         
319483.7588394974         -160596.5113698653        -166167.0198859995        57727.00000004514         
319483.7588877801         -160596.5113079819        -166167.019852977         57727.0000000463          
319483.7589360627         -160596.5112460985        -166167.0198199544        57727.00000004745         
319483.7589843454         -160596.5111842151        -166167.0197869319        57727.00000004861         
319483.7590326281         -160596.5111223317        -166167.0197539093        57727.00000004977         
319483.7590809107         -160596.5110604482        -166167.0197208868        57727.00000005092         
319483.7591291934         -160596.5109985648        -166167.0196878643        57727.00000005208         
319483.7591774761         -160596.5109366814        -166167.0196548417        57727.00000005324         
319483.7592257587         -160596.510874798         -166167.0196218192        57727.0000000544          
319483.7592740414         -160596.5108129146        -166167.0195887966        57727.00000005555         
319483.7593223198         -160596.5107510365        -166167.0195557769        57727.00000005672         
319483.7593706024         -160596.5106891531        -166167.0195227544        57727.00000005787         
319483.7594188851         -160596.5106272697        -166167.0194897318        57727.00000005903         
319483.7594671678         -160596.5105653863        -166167.0194567093        57727.00000006019         
319483.7595154505         -160596.5105035029        -166167.0194236868        57727.00000006134         
319483.7595637331         -160596.5104416194        -166167.0193906642        57727.0000000625          
319483.7596120158         -160596.510379736         -166167.0193576417        57727.00000006366         
319483.7596602985         -160596.5103178526        -166167.0193246191        57727.00000006481         
319483.7597085811         -160596.5102559692        -166167.0192915966        57727.00000006597         
319483.7597568638         -160596.5101940858        -166167.0192585741        57727.00000006713         
319483.7598051464         -160596.5101322024        -166167.0192255515        57727.00000006828         
319483.7598534291         -160596.5100703189        -166167.019192529         57727.00000006944         
319483.7599017118         -160596.5100084355        -166167.0191595064        57727.0000000706          
319483.7599499901         -160596.5099465575        -166167.0191264867        57727.00000007176         
319483.7599982728         -160596.509884674         -166167.0190934642        57727.00000007292         
319483.7600465555         -160596.5098227906        -166167.0190604417        57727.00000007408         
319483.7600948382         -160596.5097609072        -166167.0190274191        57727.00000007523         
319483.7601431208         -160596.5096990238        -166167.0189943966        57727.00000007639         
319483.7601914035         -160596.5096371404        -166167.018961374         57727.00000007755         
319483.7602396862         -160596.509575257         -166167.0189283515        57727.0000000787          
319483.7602879688         -160596.5095133735        -166167.0188953289        57727.00000007986         
319483.7603362515         -160596.5094514901        -166167.0188623064        57727.00000008102         
319483.7603845341         -160596.5093896067        -166167.0188292839        57727.00000008217         
319483.7604328168         -160596.5093277233        -166167.0187962613        57727.00000008333         
