DefaultSC.EMInert.X       DefaultSC.EMInert.Y       DefaultSC.EMInert.Z       DefaultSC.UTCModJulian    
-4582.941920932397        338145.3860822128         -145557.0924940098        57727.98773156325         
-4598.233604717177        347241.2617529911         -149514.9360693414        57728.01898156325         
-4613.472376462404        356318.2491893781         -153464.6017142714        57728.05023156325         
-4628.659678267631        365377.3045863241         -157406.5034666782        57728.08148156325         
-4643.796898016511        374419.3115523643         -161341.0239184696        57728.11273156325         
-4658.885371941273        383445.0883918905         -165268.5173715354        57728.14398156325         
-4673.926387040148        392455.3944863549         -169189.3126031191        57728.17523156325         
-4688.92118338098         401450.9359060045         -173103.7152976897        57728.20648156325         
-4703.870956252218        410432.3703618778         -177012.0101928199        57728.23773156325         
-4718.776858195026        419400.3115897072         -180914.4629788291        57728.26898156325         
-4733.640000945989        428355.3332427357         -184811.3219856072        57728.30023156325         
-4748.461457252223        437297.9723586478         -188702.8196848169        57728.33148156325         
-4763.242262589372        446228.7324557161         -192589.1740313942        57728.36273156325         
-4777.983416809088        455148.086305059          -196470.5896647061        57728.39398156325         
-4792.685885678767        464056.4784192556         -200347.2589867477        57728.42523156325         
-4807.350602341412        472954.3272916604         -204219.3631322955        57728.45648156325         
-4821.978468721757        481842.0274159501         -208087.0728438567        57728.48773156325         
-4836.570356828019        490719.9511116408         -211950.5492624782        57728.51898156325         
-4851.127110019345        499588.4501774975         -215809.9446440272        57728.55023156325         
-4865.649544188451        508447.8573922439         -219665.4030092641        57728.58148156325         
-4880.138448885771        517298.487879253          -223517.060734975         57728.61273156325         
-4894.594588405532        526140.6403497909         -227365.0470925109        57728.64398156325         
-4909.018702800883        534974.598237765          -231209.4847392832        57728.67523156325         
-4923.411508850253        543800.6307371688         -235050.4901680974        57728.70648156325         
-4937.773700993279        552618.9937520747         -238888.1741186284        57728.73773156325         
-4952.105952205595        561429.9307680482         -242722.6419548173        57728.76898156325         
-4966.408914832694        570233.6736526608         -246553.9940115491        57728.80023156325         
-4980.683221399455        579030.4433918926         -250382.3259135884        57728.83148156325         
-4994.92948536675         587820.4507686485         -254207.7288694028        57728.86273156325         
-5009.148301853608        596603.8969887458         -258030.2899422308        57728.89398156325         
-5023.340248339817        605380.9742591485         -261850.0923004942        57728.92523156325         
-5037.505885322599        614151.8663228974         -265667.2154494199        57728.95648156325         
-5051.645756944249        622916.7489545449         -269481.7354455509        57728.98773156325         
-5065.760391603857        631675.7904194968         -273293.7250956575        57729.01898156325         
-5079.850302529213        640429.1519005148         -277103.25414139          57729.05023156325         
-5093.915988324084        649176.9878941168         -280910.3894308925        57729.08148156325         
-5107.957933502451        657919.4465793399         -284715.19507848          57729.11273156325         
-5121.976608988185        666656.670161284          -288517.7326133579        57729.14398156325         
-5135.972472593807        675388.7951914328         -292318.061118285         57729.17523156325         
-5149.945969488371        684115.9528665573         -296116.2373589927        57729.20648156325         
-5163.897532635398        692838.2693080293         -299912.3159050877        57729.23773156325         
-5177.82758321303         701555.8658230177         -303706.3492431073        57729.26898156325         
-5191.736531025706        710268.8591489007         -307498.3878823452        57729.30023156325         
-5205.624774884966        718977.361682341          -311288.4804539779        57729.33148156325         
-5219.492702987704        727681.4816939791         -315076.6738040205        57729.36273156325         
-5233.340693270065        736381.3235299789         -318863.0130805514        57729.39398156325         
-5247.169113747712        745076.9878013306         -322647.5418156352        57729.42523156325         
-5260.97832284839         753768.5715617246         -326430.3020023314        57729.45648156325         
-5274.76866972461         762456.1684749478         -330211.3341671328        57729.48773156325         
-5288.540494554634        771139.8689724768         -333990.677438158         57729.51898156325         
-5302.294128836298        779819.760401892          -337768.3696094052        57729.55023156325         
-5316.02989566405         788495.9271668685         -341544.4472013244        57729.58148156325         
-5329.748109995986        797168.4508592585         -345318.9455179652        57729.61273156325         
-5343.449078913926        805837.4103837351         -349091.8987009397        57729.64398156325         
-5357.133101869585        814502.8820756158         -352863.339780397         57729.67523156325         
-5370.800470922153        823164.9398122585         -356633.3007232163        57729.70648156325         
-5384.451470968908        831823.6551183768         -360401.8124786016        57729.73773156325         
-5398.08637996457         840479.0972658021         -364168.9050212383        57729.76898156325         
-5411.705469133273        849131.3333679753         -367934.6073921677        57729.80023156325         
-5425.309003173363        857780.428469443          -371698.9477375348        57729.83148156325         
-5438.897240453399        866426.4456307893         -375461.9533453248        57729.86273156325         
-5452.470433201817        875069.4460092307         -379223.6506802228        57729.89398156325         
-5466.028827689033        883709.488935067          -382984.0654167146        57729.92523156325         
-5479.572664403063        892346.6319843687         -386743.2224705236        57729.95648156325         
-5493.102178219701        900980.9310480646         -390501.14602849          57729.98773156325         
-5506.617598564616        909612.4403975747         -394257.8595769891        57730.01898156325         
-5520.119149571144        918241.2127473212         -398013.3859289644        57730.05023156325         
-5533.607050233414        926867.2993142346         -401767.7472496591        57730.08148156325         
-5547.081514550753        935490.7498743614         -405520.9650811295        57730.11273156325         
-5560.542751669845        944111.6128168694         -409273.0603655959        57730.14398156325         
-5573.990966022911        952729.9351955298         -413024.0534677027        57730.17523156325         
-5587.42635745641         961345.7627777567         -416773.9641957558        57730.20648156325         
-5600.849121359484        969959.1400914609         -420522.8118219793        57730.23773156325         
-5614.259448788998        978570.1104697831         -424270.6151018545        57730.26898156325         
-5627.657526584267        987178.7160937457         -428017.3922925937        57730.30023156325         
-5641.04353748344         995784.998033074          -431763.1611707859        57730.33148156325         
-5654.417660236972        1004388.996285212         -435507.939049263         57730.36273156325         
-5667.780069709879        1012990.749812573         -439251.7427932341        57730.39398156325         
-5681.130936987508        1021590.296578227         -442994.5888357136        57730.42523156325         
-5694.470429478783        1030187.673580073         -446736.493192287         57730.45648156325         
-5707.798711007332        1038782.916883476         -450477.4714752536        57730.48773156325         
-5721.115941907844        1047376.061652598         -454217.5389071655        57730.51898156325         
-5734.422279120343        1055967.142180415         -457956.7103337993        57730.55023156325         
-5747.717876271267        1064556.191917426         -461695.0002365972        57730.58148156325         
-5761.002883761555        1073143.243499243         -465432.4227445872        57730.61273156325         
-5774.277448852948        1081728.328773056         -469168.9916458196        57730.64398156325         
-5787.541715740049        1090311.478822962         -472904.7203983442        57730.67523156325         
-5800.79582563108         1098892.723994345         -476639.6221407432        57730.70648156325         
-5814.039916827121        1107472.093917283         -480373.7097022433        57730.73773156325         
-5827.274124786039        1116049.617528962         -484106.9956124335        57730.76898156325         
-5840.498582196735        1124625.32309529          -487839.4921105993        57730.80023156325         
-5853.713419052134        1133199.238231655         -491571.2111546917        57730.83148156325         
-5866.918762705748        1141771.389922832         -495302.1644299566        57730.86273156325         
