Luna.EMBaryRot.X          Luna.EMBaryRot.Y          Luna.EMBaryRot.Z          Luna.UTCModJulian         
401076.7258211864         1808.457517457085         0                         57727.58147982787         
401088.0073707839         1688.361796708654         0                         57727.61272982787         
401098.5105714736         1567.571022072181         0                         57727.64397982787         
401108.2311589871         1446.086572324348         0                         57727.67522982787         
401117.1648718001         1323.909960356214         -1.455191522836685e-11    57727.70647982787         
401125.3074518011         1201.042834102525         0                         57727.73772982787         
401132.6546449818         1077.486977192108         1.455191522836685e-11     57727.76897982787         
401139.2022021104         953.2443098335498         1.455191522836685e-11     57727.80022982787         
401144.9458794122         828.3168896821589         -1.455191522836685e-11    57727.83147982787         
401149.8814392661         702.7069124237532         -1.455191522836685e-11    57727.86272982787         
401154.0046508904         576.416712597922          1.455191522836685e-11     57727.89397982787         
401157.311291034          449.448764400091          0                         57727.92522982787         
401159.7971446803         321.8056821679056         -1.455191522836685e-11    57727.95647982787         
401161.4580057402         193.4902212862798         1.455191522836685e-11     57727.98772982787         
401162.2896777597         64.50527862668969         0                         57728.01897982787         
401162.2879746236         -65.1461067414275         0                         57728.05022982787         
401161.448721264          -195.4607528592751        0                         57728.08147982787         
401159.7677543715         -326.4353344835545        0                         57728.11272982787         
401157.2409231092         -458.0663824441654        2.182787284255028e-11     57728.14397982787         
401153.8640898302         -590.3502830230973        1.455191522836685e-11     57728.17522982787         
401149.6331307942         -723.283277634433         0                         57728.20647982787         
401144.5439368888         -856.8614622538698        7.275957614183426e-12     57728.23772982787         
401138.5924143581         -991.0807868696502        -7.275957614183426e-12    57728.26897982787         
401131.7744855213         -1125.937055240422        0                         57728.30022982787         
401124.0860895033         -1261.425924398136        7.275957614183426e-12     57728.33147982787         
401115.5231829719         -1397.54290417425         7.275957614183426e-12     57728.36272982787         
401106.0817408583         -1534.283357036162        0                         57728.39397982787         
401095.7577570974         -1671.642497666642        0                         57728.42522982787         
401084.5472453705         -1809.61539256672         1.455191522836685e-11     57728.45647982787         
401072.4462398277         -1948.196960005669        0                         57728.48772982787         
401059.4507958476         -2087.381969507827        0                         57728.51897982787         
401045.5569907601         -2227.165041953325        7.275957614183426e-12     57728.55022982787         
401030.7609245971         -2367.540649145481        -7.275957614183426e-12    57728.58147982787         
401015.0587208486         -2508.503113589974        0                         57728.61272982787         
400998.446527189          -2650.046608574477        -1.455191522836685e-11    57728.64397982787         
400980.9205162342         -2792.165157961153        0                         57728.67522982787         
400962.4768863036         -2934.852636003856        0                         57728.70647982787         
400943.1118621468         -3078.102767492812        -7.275957614183426e-12    57728.73772982787         
400922.8216957062         -3221.909127630275        0                         57728.76897982787         
400901.6026668856         -3366.265141932377        0                         57728.80022982787         
400879.4510842757         -3511.164086462308        0                         57728.83147982787         
400856.3632859228         -3656.599087790979        0                         57728.86272982787         
400832.3356401015         -3802.563122985826        -7.275957614183426e-12    57728.89397982787         
400807.3645460402         -3949.049019932711        -7.275957614183426e-12    57728.92522982787         
400781.4464346941         -4096.049457384514        0                         57728.95647982787         
400754.5777695223         -4243.556965036529        0                         57728.98772982787         
400726.7550472119         -4391.563923940506        0                         57729.01897982787         
400697.9747984554         -4540.06256664082         7.275957614183426e-12     57729.05022982787         
400668.2335887314         -4689.044977339126        3.637978807091713e-12     57729.08147982787         
400637.5280190266         -4838.503092400613        -3.637978807091713e-12    57729.11272982787         
400605.8547266165         -4988.428700579951        0                         57729.14397982787         
400573.2103858502         -5138.813443276038        0                         57729.17522982787         
400539.5917088691         -5289.648815131497        3.637978807091713e-12     57729.20647982787         
400504.9954463904         -5440.926164349683        3.637978807091713e-12     57729.23772982787         
400469.4183884949         -5592.636693040447        -3.637978807091713e-12    57729.26897982787         
400432.8573653342         -5744.771457949591        -3.637978807091713e-12    57729.30022982787         
400395.3092479586         -5897.321370690237        -3.637978807091713e-12    57729.33147982787         
400356.7709490224         -6050.277198535323        0                         57729.36272982787         
400317.239423571          -6203.629564887968        0                         57729.39397982787         
400276.7116698323         -6357.368949781188        3.637978807091713e-12     57729.42522982787         
400235.1847299246         -6511.485690730862        3.637978807091713e-12     57729.45647982787         
400192.6556906458         -6665.969983298854        -3.637978807091713e-12    57729.48772982787         
400149.1216842657         -6820.811881686439        0                         57729.51897982787         
400104.5798892293         -6976.001299682837        -1.818989403545856e-12    57729.55022982787         
400059.0275309463         -7131.528011322225        1.818989403545856e-12     57729.58147982787         
400012.4618825847         -7287.381651570663        -1.818989403545856e-12    57729.61272982787         
399964.880265768          -7443.551717370936        -1.818989403545856e-12    57729.64397982787         
399916.2800513656         -7600.027568393332        1.818989403545856e-12     57729.67522982787         
399866.6586602865         -7756.798427816737        0                         57729.70647982787         
399816.0135641696         -7913.853383469556        0                         57729.73772982787         
399764.3422861745         -8071.181388674472        -1.818989403545856e-12    57729.76897982787         
399711.6424017748         -8228.771263123725        -9.094947017729282e-13    57729.80022982787         
399657.911539441          -8386.611694115778        0                         57729.83147982787         
399603.1473814315         -8544.691237494142        0                         57729.86272982787         
399547.3476645836         -8702.998318616528        0                         57729.89397982787         
399490.5101809912         -8861.521233686928        9.094947017729282e-13     57729.92522982787         
399432.6327787912         -9020.2481507881          -4.547473508864641e-13    57729.95647982787         
399373.7133629562         -9179.167110944196        1.70530256582424e-13      57729.98772982787         
399313.7498959616         -9338.266029547643        -6.821210263296962e-13    57730.01897982787         
399252.7403985719         -9497.532697484552        2.273736754432321e-13     57730.05022982787         
399190.6829506303         -9656.954782290473        0                         57730.08147982787         
399127.5756917172         -9816.519829670888        4.547473508864641e-13     57730.11272982787         
399063.4168219346         -9976.21526471895         9.094947017729282e-13     57730.14397982787         
398998.2046026923         -10136.02839316329        -1.818989403545856e-12    57730.17522982787         
398931.9373573574         -10295.94640298117        9.094947017729282e-13     57730.20647982787         
398864.6134720354         -10455.95636570732        9.094947017729282e-13     57730.23772982787         
398796.2313963538         -10616.04523777289        1.818989403545856e-12     57730.26897982787         
398726.7896441006         -10776.19986220957        -1.818989403545856e-12    57730.30022982787         
398656.2867940025         -10936.40697004862        0                         57730.33147982787         
398584.7214905043         -11096.6531817492         -1.818989403545856e-12    57730.36272982787         
398512.0924443973         -11256.92500899209        -1.818989403545856e-12    57730.39397982787         
398438.3984335921         -11417.20885616718        0                         57730.42522982787         
398363.6383038946         -11577.49102188976        1.818989403545856e-12     57730.45647982787         
398287.8109696225         -11737.75770088185        -3.637978807091713e-12    57730.48772982787         
398210.9154143741         -11897.99498554621        0                         57730.51897982787         
398132.9506917977         -12058.18886756907        3.637978807091713e-12     57730.55022982787         
398053.9159261974         -12218.32523988643        0                         57730.58147982787         
397973.8103132957         -12378.38989834316        3.637978807091713e-12     57730.61272982787         
397892.6331209978         -12538.36854337934        7.275957614183426e-12     57730.64397982787         
397810.3836899843         -12698.24678207997        0                         57730.67522982787         
397727.0614344673         -12858.0101299159         0                         57730.70647982787         
397642.6658429493         -13017.64401251239        -3.637978807091713e-12    57730.73772982787         
397557.1964788014         -13177.13376777871        7.275957614183426e-12     57730.76897982787         
397470.6529810137         -13336.46464772909        -3.637978807091713e-12    57730.80022982787         
397383.0350649464         -13495.62182033039        -3.637978807091713e-12    57730.83147982787         
397294.3425228941         -13654.59037170885        3.637978807091713e-12     57730.86272982787         
397204.5752248289         -13813.35530804831        3.637978807091713e-12     57730.89397982787         
